title,audience_rating,genre,critic_rating,runtime,votes,gross,year
Gladiador,8.5,"Action, Adventure, Drama",67,155 min,1558641,"187,705,427",2000
Memento,8.4,"Mystery, Thriller",83,113 min,1284140,"25,544,867",2000
Snatch - Porcos E Diamantes,8.2,"Comedy, Crime",55,104 min,884592,"30,328,156",2000
A Vida não é um Sonho,8.3,Drama,71,102 min,872840,"3,635,482",2000
Psicopata Americano,7.6,"Crime, Drama, Horror",64,102 min,674017,"15,070,285",2000
X-Men,7.3,"Action, Adventure, Sci-Fi",64,104 min,633036,"157,299,717",2000
O Náufrago,7.8,"Adventure, Drama, Romance",73,143 min,618568,"233,632,142",2000
O Protegido,7.3,"Drama, Mystery, Sci-Fi",62,106 min,431568,"95,011,339",2000
Missão Impossível II,6.1,"Action, Adventure, Thriller",59,123 min,366407,"215,409,889",2000
Um Sogro Do Pior,7.0,"Comedy, Romance",73,108 min,346718,"166,244,045",2000
"Irmão, Onde Estás?",7.7,"Adventure, Comedy, Crime",69,107 min,323150,"45,512,588",2000
60 Segundos,6.5,"Action, Crime, Thriller",35,118 min,288473,"101,648,571",2000
Quase Famosos,7.9,"Adventure, Comedy, Drama",90,122 min,286581,"32,534,850",2000
O Patriota,7.2,"Action, Drama, History",63,165 min,286395,"113,330,342",2000
O Tigre e o Dragão,7.9,"Action, Adventure, Drama",94,120 min,277339,"128,078,872",2000
Scary Movie - Um Susto de Filme,6.2,Comedy,48,88 min,275190,"157,019,771",2000
Grinch,6.3,"Comedy, Family, Fantasy",46,104 min,271251,"260,044,825",2000
O Último Destino,6.7,"Horror, Thriller",36,98 min,269312,"53,331,147",2000
Eclipse Mortal,7.0,"Action, Horror, Sci-Fi",49,109 min,248941,"39,240,659",2000
A Praia,6.6,"Adventure, Drama, Romance",43,119 min,247994,"39,785,027",2000
Amor Cão,8.1,"Drama, Thriller",83,154 min,247788,"5,383,834",2000
"Ela, Eu E o Outro",6.6,Comedy,49,116 min,245773,"90,570,999",2000
Duelo de Titãs,7.8,"Biography, Drama, Sport",48,113 min,225290,"115,654,751",2000
Miss Detective,6.3,"Action, Comedy, Crime",43,109 min,221861,"106,807,667",2000
Pacha e o Imperador,7.4,"Animation, Adventure, Comedy",70,78 min,216669,"89,302,687",2000
O Que As Mulheres Querem,6.4,"Comedy, Fantasy, Romance",47,127 min,216392,"182,811,707",2000
Traffic - Ninguém Sai Ileso,7.6,"Crime, Drama, Thriller",86,147 min,215428,"124,115,725",2000
Erin Brockovich,7.4,"Biography, Drama",73,131 min,210858,"125,595,205",2000
A Fuga das Galinhas,7.1,"Animation, Adventure, Comedy",88,84 min,201675,"106,834,564",2000
Chocolate,7.3,"Drama, Romance",64,121 min,197600,"71,509,363",2000
Os Anjos de Charlie,5.6,"Action, Adventure, Comedy",52,98 min,192766,"125,305,545",2000
Battle Royale,7.6,"Action, Adventure, Drama",81,114 min,190105,N/A,2000
Alta Fidelidade,7.4,"Comedy, Drama, Music",79,113 min,186134,"27,287,137",2000
Road Trip - Sem Regras,6.5,Comedy,55,93 min,174646,"68,540,777",2000
The Perfect Storm - Tempestade,6.5,"Action, Adventure, Drama",59,130 min,174239,"182,618,434",2000
Disponível Para Amar,8.1,"Drama, Romance",87,98 min,159692,"2,734,044",2000
Gritos 3,5.6,"Horror, Mystery",56,116 min,157557,"89,138,076",2000
"Onde Tá o Carro, Meu?",5.5,"Comedy, Mystery, Sci-Fi",30,83 min,143579,"46,729,800",2000
Billy Elliot,7.7,"Drama, Music",74,110 min,139563,"21,995,263",2000
Gilmore Girls,8.2,"Comedy, Drama",N/A,44 min,138253,N/A,2000
A Vida é Injusta,8.2,"Comedy, Family",N/A,22 min,137980,N/A,2000
"Calma, Larry",8.8,Comedy,N/A,28 min,136885,N/A,2000
O Homem Transparente,5.8,"Action, Horror, Sci-Fi",24,112 min,135598,"73,209,340",2000
Shanghai Noon,6.6,"Action, Adventure, Comedy",77,110 min,132615,"56,937,502",2000
A Verdade Escondida,6.6,"Drama, Horror, Mystery",51,130 min,132201,"155,464,351",2000
O 6º Dia,5.9,"Action, Mystery, Sci-Fi",49,123 min,125992,"34,604,280",2000
Falsas Aparências,6.7,"Comedy, Crime",47,98 min,125331,"57,262,492",2000
Homens de Honra,7.2,"Biography, Drama",56,129 min,122201,"48,818,921",2000
Favores em Cadeia,7.2,Drama,40,123 min,122105,"33,519,628",2000
Coyote Bar,5.7,"Comedy, Drama, Music",27,100 min,118822,"60,786,269",2000
Dois Destinos,6.8,"Comedy, Drama, Fantasy",42,125 min,114956,"75,793,305",2000
Dancer in the Dark,7.9,"Crime, Drama, Musical",63,140 min,114023,"4,184,036",2000
Frequência,7.4,"Crime, Drama, Mystery",67,118 min,113094,"45,010,278",2000
"Nicky, Filho... do Diabo",5.3,"Comedy, Fantasy",38,90 min,109964,"39,464,775",2000
Sedutora Endiabrada,6.1,"Comedy, Fantasy",49,93 min,109734,"37,879,996",2000
Malèna,7.4,"Drama, Romance, War",54,108 min,108363,"3,448,233",2000
A Cela,6.4,"Crime, Horror, Sci-Fi",40,107 min,106589,"61,334,059",2000
O Caminho para El Dorado,6.9,"Animation, Adventure, Comedy",51,89 min,103248,"50,863,742",2000
Tudo por Elas,6.1,"Comedy, Romance, Sport",52,98 min,101922,"68,379,000",2000
O Agente Disfarçado,5.2,"Action, Comedy, Crime",33,99 min,88896,"117,559,438",2000
Descobrir Forrester,7.3,Drama,62,136 min,88234,"66,400,000",2000
CSI: Crime Sob Investigação,7.7,"Crime, Drama, Mystery",N/A,60 min,86753,N/A,2000
Submarino U-571,6.6,"Action, War",62,116 min,84660,"77,086,030",2000
Space Cowboys,6.5,"Action, Adventure, Thriller",73,130 min,84474,"90,464,773",2000
Terra - Campo de Batalha,2.5,"Action, Adventure, Sci-Fi",9,118 min,82011,"21,471,685",2000
Shaft,6.0,"Action, Crime, Thriller",50,99 min,79416,"70,334,258",2000
Missão a Marte,5.7,"Adventure, Sci-Fi, Thriller",34,114 min,75403,"60,883,407",2000
O Dom,6.7,"Drama, Fantasy, Horror",62,112 min,72867,"12,008,642",2000
Romeo Deve Morrer,6.1,"Action, Crime, Thriller",52,115 min,72549,"55,973,336",2000
Hera Pheri,8.1,"Action, Comedy, Crime",N/A,156 min,70397,N/A,2000
Os Substitutos,6.6,"Comedy, Sport",30,118 min,67843,"44,737,059",2000
Wonder Boys - Prodígios,7.2,"Comedy, Drama",74,107 min,65743,"19,389,454",2000
Donos de Estimação,7.4,Comedy,78,90 min,65098,"18,715,392",2000
Dinossauro,6.4,"Animation, Adventure, Drama",56,82 min,64936,"137,748,063",2000
Besta Sexy,7.3,"Crime, Drama, Thriller",79,89 min,64541,"6,946,056",2000
Os Crimes dos Rios de Púrpura,6.9,"Crime, Mystery, Thriller",49,106 min,64177,"632,548",2000
Limite Vertical,5.9,"Action, Adventure, Drama",48,124 min,63981,"69,243,859",2000
Titan A.E. - Depois da Destruição da Terra,6.6,"Animation, Action, Adventure",48,94 min,62951,"22,751,979",2000
